,KIC,KOI,Kepler,Period,Rp/R*,Status
6631,7458743,5393.01,               ,248.4276684,0.024852, PPNN
6637,7539277,5398.01,               ,551.2358984,0.016275, PPNN
6649,7662502,5410.01,               ,24.15287745,0.008313, PPPP
6650,7672215,5411.01,               ,11.17306709,0.007263, PPPP
6655,7731281,5416.01, Kepler-1628 b ,76.37824944,0.093363, PPFP
6657,7747091,5418.01,               ,14.26744081,0.013341, PPPP
6662,7762153,5423.01,               ,366.7469975,0.024401, PPNN
6665,7770901,5426.01,               ,124.8818637,0.012319, PPPP
6672,7829836,5433.01,               ,237.8226233,0.022969, PPPP
6673,7830953,5434.01,               ,581.9332498,0.027842, PPNN
6674,7836096,5435.01,               ,15.99617436,0.020169, PPPP
6679,7888863,5440.01,               ,74.62595978,0.017339, PPPP
6687,7935997,5447.02, Kepler-1629 b ,3.87591676,0.00712, PPFP
6692,7950158,5451.01,               ,529.3924321,0.015814, PPNN
6695,7978202,5454.01, Kepler-1630 b ,509.994129,0.033891, PPNP
6696,7979297,5455.01,               ,292.0425054,0.020192, PPNN
6699,8007174,5458.01,               ,56.6507902,0.023047, PPPP
6700,8009811,5459.01,               ,53.55606973,0.01052, PPPN
6702,8016650,5461.01,               ,119.0778752,0.016611, PPNN
6707,8037038,5466.01, Kepler-1631 b ,4.0951497,0.012242, PPPP
6708,8040308,5467.01,               ,502.8115697,0.020567, PPNN
6713,8076215,5472.01,               ,97.51522118,0.014159, PPNN
6714,8094942,5473.01,               ,549.4908132,0.01937, PPNN
6716,8105398,5475.01, Kepler-1632 b ,224.1510965,0.017338, PPPP
6717,8105398,5475.02,               ,5.68328133,0.0062, PPPP
6718,8105719,5476.01,               ,148.1697978,0.019551, PPPN
6721,8125917,5479.01,               ,18.34736893,0.029061, PPNN
6727,8197176,5485.01,               ,9.3590448,0.035852, PPPP
6728,8197406,5486.01,               ,4.15471858,0.042956, PPPP
6729,8223445,5487.01,               ,48.81273546,0.024108, PPNN
6739,8279146,5497.01,               ,93.35983659,0.006362, PPNN
6741,8294683,5499.01,               ,122.6003719,0.015172, PPNN
6744,8307489,5502.01,               ,422.0407603,0.014112, PPNN
6748,8352009,5506.01,               ,641.4829837,0.012431, PPNN
6754,8396288,5512.01,               ,8.58525551,0.034421, PPPP
6757,8429817,5515.01,               ,6.26349233,0.049869, PPPP
6760,8439618,5518.01,               ,558.2267062,0.036487, PPFN
6774,8525101,5532.01,               ,24.6784693,0.010291, PPNN
6778,8547213,5536.01,               ,392.7262074,0.01905, PPNN
6781,8547537,5539.01,               ,373.8794769,0.024554, PPNN
6783,8548454,5541.01,               ,339.6676396,0.021577, PPNN
6795,8644545,5552.01,               ,295.9591869,0.019683, PPPP
6796,8644911,5553.01,               ,120.9393122,0.025808, PPPP
6797,8652997,5554.01,               ,362.1766202,0.008058, PPNN
6799,8656535,5556.01,               ,631.9952404,0.014912, PPNN
6806,8715589,5563.01,               ,7.62214475,0.010907, PPPP
6809,8741367,5566.01,               ,0.98884061,0.010462, PPPP
6811,8745553,5568.01, Kepler-1633 b ,62.13582154,0.011066, PPPP
6820,8841297,5577.01,               ,495.5241388,0.015585, PPNN
6821,8868481,5578.01,               ,388.0433942,0.011084, PPNN
6824,8891684,5581.01, Kepler-1634 b ,374.8787642,0.027414, PPPP
6828,8937555,5585.01,               ,113.573095,0.014049, PPNN
6831,8946267,5588.01,               ,543.1257176,0.022896, PPNN
6834,8959240,5591.01,               ,317.0062333,0.016564, PPNN
6835,8971044,5592.01,               ,482.4892436,0.021875, PPNN
6840,9011877,5597.01,               ,7.77709387,0.007945, PPPP
6841,9012244,5598.01,               ,376.9286003,0.016496, PPNN
6843,9018021,5600.01,               ,51.4998764,0.023077, PPPP
6845,9026007,5602.01,               ,403.1664272,0.02387, PPFN
6846,9026248,5603.01,               ,341.5573961,0.018979, PPNN
6847,9044060,5604.01,               ,476.9258136,0.014005, PPNN
6848,9047416,5605.01,               ,9.01141123,0.028195, PPPP
6853,9079767,5610.01,               ,495.4423376,0.013335, PPNN
6856,9097470,5613.01,               ,346.4078277,0.023719, PPNN
6859,9114614,5616.01,               ,441.6239203,0.02432, PPNN
6865,9141355,5622.01, Kepler-1635 b ,469.6127564,0.031856, PPPP
6869,9147029,5626.01,               ,397.5037279,0.046067, PPNN
6871,9157030,5628.01,               ,24.90954202,0.016607, PPPP
6875,9166700,5632.01,               ,264.4656304,0.019617, PPPP
6876,9173014,5633.01,               ,151.7790486,0.012936, PPNN
6881,9209981,5638.01,               ,290.0121375,0.011364, PPNN
6882,9210738,5639.01,               ,279.2034234,0.014982, PPNN
6883,9214176,5640.01,               ,348.6671794,0.018126, PPNN
6888,9229807,5645.01,               ,580.8645075,0.023157, PPNN
6892,9274092,5649.01,               ,426.9328428,0.027757, PPNN
6894,9282853,5651.01,               ,83.5005238,0.020253, PPPP
6895,9292100,5652.01,               ,91.50771587,0.018454, PPNN
6897,9304976,5654.01,               ,54.69420244,0.029781, PPFF
6903,9363944,5660.01,               ,402.2107049,0.018439, PPNN
6906,9391817,5663.01,               ,140.8832056,0.011531, PPPP
6920,9456887,5677.01,               ,20.51438354,0.011039, PPPN
6928,9481235,5685.01,               ,14.00144918,0.016338, PPNN
6931,9532603,5688.01,               ,14.55547951,0.024956, PPPP
6933,9536727,5690.01,               ,17.04947117,0.020167, PPNN
6935,9575728,5692.01,               ,2.64181388,0.00743, PPPP
6941,9596820,5698.01,               ,282.0246788,0.015523, PPNN
6947,9674789,5704.01,               ,96.16684289,0.014944, PPNN
6949,9715631,5706.01, Kepler-1636 b ,425.4861215,0.029031, PPPP
6958,9832379,5715.01,               ,189.9023024,0.020698, PPNN
6961,9838582,5718.01,               ,233.6507287,0.040147, PPNN
6962,9839030,5719.01,               ,27.28628395,0.01853, PPFN
6970,9881660,5727.01,               ,65.35319248,0.028307, PPNP
6975,9910043,5732.01,               ,39.40066228,0.017041, PPPP
6979,9935983,5736.01,               ,161.6513618,0.014814, PPPN
6983,9942658,5740.01,               ,21.7997664,0.01036, PPNN
6984,9953491,5741.01,               ,362.1828955,0.028446, PPNN
6990,9968924,5747.01,               ,411.4475302,0.01454, PPNN
6991,9993683,5748.01,               ,29.93692914,0.01253, PPPP
6992,9994381,5749.01,               ,281.9498313,0.026954, PPNN
6998,10007916,5755.01,               ,388.7554879,0.015777, PPNN
7004,10083325,5761.01,               ,6.1329498,0.00734, PPPP
7005,10090854,5762.01,               ,12.63058716,0.01588, PPPP
7007,10098540,5764.01,               ,286.0226598,0.029696, PPNN
7012,10146103,5769.01,               ,7.5805644,0.00841, PPPP
7018,10191449,5775.01,               ,492.2247248,0.019944, PPNN
7019,10199984,5776.01,               ,198.5968382,0.01582, PPNN
7025,10272858,5782.01,               ,584.5438462,0.016223, PPNN
7030,10339000,5787.01,               ,69.77603897,0.010779, PPNN
7032,10387792,5789.01,               ,383.262167,0.0182, PPNN
7033,10394802,5790.01,               ,178.2651092,0.038703, PPPP
7039,10470779,5796.01,               ,495.6683408,0.021141, PPFN
7042,10519727,5799.01,               ,184.8842408,0.014823, PPNN
7043,10525077,5800.01,               ,11.00680596,0.011148, PPPP
7044,10535708,5801.01,               ,177.3582576,0.017815, PPNN
7049,10552151,5805.01,               ,525.7554926,0.026221, PPFF
7050,10552263,5806.01,               ,313.8238345,0.011876, PPNN
7060,10656842,5816.01,               ,82.50877965,0.017215, PPNN
7061,10658177,5817.01,               ,113.085732,0.010749, PPPP
7063,10663976,5819.01,               ,381.3701076,0.014322, PPNN
7066,10685764,5822.01,               ,17.63431011,0.00828, PPNN
7071,10777591,5827.01, Kepler-1637 b ,6.1098288,0.007237, PPPP
7075,10813078,5831.01,               ,10.55244953,0.027812, PPPP
7077,10850327,5833.01,               ,440.1716187,0.032481, PPPP
7078,10855545,5834.01,               ,37.53847835,0.015291, PPFP
7081,10878117,5837.01,               ,280.920707,0.0301, PPNN
7086,10933306,5842.01,               ,57.77439487,0.015505, PPPP
7089,10967168,5845.01,               ,22.26586777,0.00728, PPPN
7090,10977671,5846.01,               ,199.0497893,0.0146, PPFF
7093,10989620,5849.01,               ,21.51172903,0.009977, PPNN
7094,10991389,5850.01,               ,303.2265651,0.036172, PPNP
7095,10991431,5851.01,               ,322.223806,0.018462, PPNN
7098,11026582,5854.01,               ,240.5717304,0.028027, PPPP
7099,11036168,5855.01,               ,217.7922255,0.03461, PPPP
7100,11037818,5856.01, Kepler-1638 b ,259.3485017,0.01699, PPPP
7104,11072982,5860.01,               ,264.7099081,0.019562, PPNN
7107,11080702,5863.01,               ,8.6723828,0.008149, PPNP
7111,11097752,5867.01,               ,359.627036,0.018845, PPNN
7115,11145391,5871.01,               ,623.2313007,0.018875, PPNN
7118,11152511,5874.01,               ,287.3319899,0.018543, PPPF
